                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75237,                 2.0698,                0.95135,                0.95962,                0.49528,                0.83359,                0.68594,                0.63107,                 3.1569,                0.82364,                 0.0006,                 0.0006,                 0.0006
                      2,                0.81012,                 1.2941,                0.96813,                0.79032,                0.72917,                0.80278,                0.63472,                0.70182,                 2.5582,                0.84897,              0.0012176,              0.0012176,              0.0012176
                      3,                0.83298,                 1.2106,                0.99479,                 0.8613,                0.95833,                0.94027,                0.78119,                0.71214,                 1.8661,                 0.9177,              0.0018327,              0.0018327,              0.0018327
                      4,                0.85493,                 1.1061,                 1.0128,                0.88551,                0.85417,                0.91351,                0.75416,                0.71227,                 1.3748,                0.91183,              0.0019881,              0.0019881,              0.0019881
                      5,                 0.8267,                  1.007,                0.98873,                0.86066,                 0.9375,                0.86781,                 0.7149,                0.68482,                 1.2237,                0.86581,              0.0019881,              0.0019881,              0.0019881
                      6,                0.81856,                 0.9573,                 0.9855,                0.88394,                 0.9375,                0.95596,                0.78887,                0.69395,                 1.1261,                0.88462,              0.0019842,              0.0019842,              0.0019842
                      7,                0.83115,                0.82744,                0.99203,                0.93444,                 0.8909,                0.93329,                0.76112,                0.69613,                  1.078,                0.88727,              0.0019802,              0.0019802,              0.0019802
                      8,                0.79229,                0.77551,                0.97932,                0.95621,                0.97917,                0.97995,                0.82405,                0.67277,                 0.7445,                0.85678,              0.0019762,              0.0019762,              0.0019762
                      9,                0.81637,                0.73244,                0.98415,                 0.9555,                      1,                0.97515,                0.81216,                0.64679,                0.67754,                0.85597,              0.0019723,              0.0019723,              0.0019723
                     10,                0.77468,                0.70264,                0.96612,                0.86112,                 0.9375,                0.96528,                0.83111,                0.60481,                0.80911,                0.85628,              0.0019683,              0.0019683,              0.0019683
